system_index,NDVI_Year,GIMMSdate,afterSlope,beforeSlope,best,conflict_name,conflict_new_id,country,country_id,date_end,date_start,region,slopeChange,slopeYears,Long,Lat,year,NDVI,T,Prec,soilM
00000000000000000092_1,1982,19820101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,69.7499988888,35.9098988305787,2001,2214.546875,310,78,334
00000000000000000092_2,1983,19830101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2649.627441,323,77,334
00000000000000000092_3,1984,19840101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2464.94458,321,75,334
00000000000000000092_4,1985,19850101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2365.019287,317,54,334
00000000000000000092_5,1986,19860101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2142.374512,312,49,334
00000000000000000092_6,1987,19870101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2475.35376,314,100,334
00000000000000000092_7,1988,19880101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2297.144775,318,66,334
00000000000000000092_8,1989,19890101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2522.630371,309,68,334
00000000000000000092_9,1990,19900101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2289.48999,313,87,334
00000000000000000092_10,1991,19910101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2590.625732,315,96,334
00000000000000000092_11,1992,19920101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2504.334229,305,84,334
00000000000000000092_12,1993,19930101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2543.51123,301,70,334
00000000000000000092_13,1994,19940101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2611.197021,310,46,334
00000000000000000092_14,1995,19950101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2380.497803,318,77,334
00000000000000000092_15,1996,19960101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2266.20752,306,68,334
00000000000000000092_16,1997,19970101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2743.606934,319,91,334
00000000000000000092_17,1998,19980101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2515.599609,311,85,334
00000000000000000092_18,1999,19990101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2724.200195,315,76,334
00000000000000000092_19,2000,20000101,-1.895635517,-10.28816294,95,Afghanistan: Government,333,Afghanistan,700,11/6/2001,11/3/2001,Asia,8.392527419,14,66.8100020867,35.9098988305787,2001,2140.321289,308,65,334
