system_index,NDVI_Year,GIMMSdate,afterSlope,beforeSlope,best,conflict_name,conflict_new_id,country,country_id,date_end,date_start,region,slopeChange,slopeYears,Long,Lat,year,NDVI,T,Prec,soilM
00000000000000000004_1,1982,19820101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2268.846436,387,72,160
00000000000000000004_2,1983,19830101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2263.663086,407,65,160
00000000000000000004_3,1984,19840101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2346.946777,404,81,160
00000000000000000004_4,1985,19850101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2320.187012,396,69,160
00000000000000000004_5,1986,19860101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,1919.509888,392,67,160
00000000000000000004_6,1987,19870101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2520.791504,385,81,128
00000000000000000004_7,1988,19880101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2781.948486,398,59,160
00000000000000000004_8,1989,19890101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2031.800415,397,56,160
00000000000000000004_9,1990,19900101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2289.429932,390,85,160
00000000000000000004_10,1991,19910101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2195.682617,392,85,160
00000000000000000004_11,1992,19920101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2291.640869,387,71,160
00000000000000000004_12,1993,19930101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2221.531738,383,68,160
00000000000000000004_13,1994,19940101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2579.619141,384,46,160
00000000000000000004_14,1995,19950101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2709.743164,403,67,160
00000000000000000004_15,1996,19960101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2440.373535,390,59,120
00000000000000000004_16,1997,19970101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2237.858643,402,57,160
00000000000000000004_17,1998,19980101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2784.155273,394,72,160
00000000000000000004_18,1999,19990101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2555.884521,388,62,15
00000000000000000004_19,2000,20000101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2062.23877,387,58,160
00000000000000000004_20,2001,20010101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,1820.799438,391,51,160
00000000000000000004_21,2002,20020101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2531.320557,392,76,160
