system_index,NDVI_Year,GIMMSdate,afterSlope,beforeSlope,best,conflict_name,conflict_new_id,country,country_id,date_end,date_start,region,slopeChange,slopeYears,Long,Lat,year,NDVI,T,Prec,soilM
00000000000000000004_22,2003,20030101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2769.273193,395,71,160
00000000000000000004_23,2004,20040101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2208.462891,385,75,160
00000000000000000004_24,2005,20050101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2605.184082,400,60,160
00000000000000000004_25,2006,20060101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2173.107666,389,56,160
00000000000000000004_26,2007,20070101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2275.750977,392,73,160
00000000000000000004_27,2008,20080101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,1688.49292,401,46,160
00000000000000000004_28,2009,20090101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2711.982422,398,85,160
00000000000000000004_29,2010,20100101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2404.037842,392,51,160
00000000000000000004_30,2011,20110101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,1787.67749,400,61,160
00000000000000000004_31,2012,20120101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,1937.234863,402,58,160
00000000000000000004_32,2013,20130101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,1828.882813,401,49,160
00000000000000000004_33,2014,20140101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,1765.32312,391,71,160
00000000000000000004_34,2015,20150101,-78.07413934,-13.04201955,200,UIFSA - Civilians,515,Afghanistan,700,12/31/2001,11/24/2001,Asia,-65.03211978,14,65.7043100122,36.6547426114452,2001,2026.217163,404,128,160
