system_index,NDVI_Year,GIMMSdate,afterSlope,beforeSlope,best,conflict_name,conflict_new_id,country,country_id,date_end,date_start,region,slopeChange,slopeYears,Long,Lat,year,NDVI,T,Prec,soilM
00000000000000000094_1,1982,19820101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,64.9999994599,34.5047692021221,2001,2016.036621,323,157,272
00000000000000000094_2,1983,19830101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2063.872803,347,61,272
00000000000000000094_3,1984,19840101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1882.207764,337,57,272
00000000000000000094_4,1985,19850101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1848.369385,332,69,272
00000000000000000094_5,1986,19860101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1978.37146,322,74,272
00000000000000000094_6,1987,19870101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1978.09314,331,71,237
00000000000000000094_7,1988,19880101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2069.104004,329,93,272
00000000000000000094_8,1989,19890101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2153.382813,333,77,272
00000000000000000094_9,1990,19900101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1958.395996,326,97,272
00000000000000000094_10,1991,19910101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1930.898315,330,119,272
00000000000000000094_11,1992,19920101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2116.24292,324,106,272
00000000000000000094_12,1993,19930101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2127.687256,320,118,272
00000000000000000094_13,1994,19940101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2057.749268,329,90,272
00000000000000000094_14,1995,19950101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2007.354858,339,93,272
00000000000000000094_15,1996,19960101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2002.189575,324,102,272
00000000000000000094_16,1997,19970101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2054.854736,341,66,261
00000000000000000094_17,1998,19980101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2044.042725,338,83,272
00000000000000000094_18,1999,19990101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,2011.817505,333,75,272
00000000000000000094_19,2000,20000101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1661.196045,325,44,158
00000000000000000094_20,2001,20010101,12.28133746,-17.19439362,28,Afghanistan: Government,333,Afghanistan,700,1/5/2001,1/5/2001,Asia,29.47573108,14,62.6569469750,34.5047692021221,2001,1800.186646,329,66,261
